death blackd whitvic serious culp serious2
0 1 0 7.1 2 3.4
1 0 1 11.5 5 4.66666666
0 0 0 6 2 3
0 0 1 8.4 4 3.2
1 1 0 12.2 5 4.2
0 0 0 7.7 1 3.2
1 1 0 3.66666666 2 2.83333333
1 0 1 12.8 5 4.8
0 1 0 7 1 3.2
0 1 0 7.875 5 2.75
0 1 1 3.7 1 2.4
0 1 1 7.3 1 3.4
0 0 1 9.2 1 3.2
0 1 0 8.6 1 3.8
1 1 0 8 5 3.8
0 1 0 3.58333333 1 2.83333333
0 0 1 10.7 2 4
1 0 1 7.2 5 3
0 1 0 4.8 1 2.2
0 1 0 1.6 1 1.8
1 0 1 6.9 2 3
0 0 1 7.4 3 3.8
0 0 1 6.7 1 3.2
0 1 1 6.8 1 2.6
1 1 0 9.8 1 4.2
0 0 1 9.4 1 3.4
0 0 1 1.4 1 1.4
0 1 0 8.1 1 3.2
0 1 0 1.6 1 1
0 1 0 2.25 1 1
0 0 0 10.9 2 4.4
0 0 0 9.3 2 3.8
1 0 0 6 5 2.5
1 1 1 9.8 2 4
0 0 1 4.6 2 2.6
1 1 1 8.4 5 3.6
0 0 0 8.16666666 1 3.83333333
0 1 1 4.6 1 2.4
0 0 1 5.3 1 2.4
1 1 1 7.8 4 3.8
0 1 1 6.5 1 2.8
1 1 0 6.8 3 3.4
1 1 1 11 5 3.8
1 0 1 11.7 3 3.8
0 1 0 8.8 1 4
0 1 1 6.2 1 2.6
1 0 1 4 4 2.4
0 0 1 10.6 2 5
1 0 0 13.6 5 4.6
0 0 1 5.1 1 2.8
1 0 1 10.9 5 3.6
1 1 1 5.8 2 2.8
0 0 1 4.7 1 3
0 0 1 4.8 1 2.4
0 0 1 4.2 4 2
1 0 1 13.5 4 4.8
0 0 1 3.6 1 1.8
0 0 1 2.6 1 2.6
1 1 0 11.6666666 5 4.66666666
0 1 0 5.1 1 2.2
0 0 0 6.6 1 3
0 0 1 6.4 2 3
0 0 1 8.8 2 3.8
1 0 1 9.7 5 4
1 1 0 6.66666666 2 3.33333333
0 0 1 11.2 1 4
0 0 1 4.5 2 2.4
0 1 0 5.16666666 1 3.16666666
0 0 0 11.9 4 4.4
1 1 0 2 5 1.4
0 1 1 10.0833333 1 4.33333333
1 0 1 5.2 4 3
1 1 0 8.1 4 3.4
0 1 0 5.2 1 3
0 0 1 4.7 1 2.4
0 0 1 7.3 1 3.6
0 1 0 10.4 2 3.8
1 1 0 7.58333333 5 3.83333333
1 1 0 9.9 5 3.6
0 0 1 9.2 1 3.8
0 0 1 10.3 1 4.2
0 0 1 7.4 1 3
0 0 0 8 1 3.2
0 0 1 9.25 1 3.75
0 1 1 9.2 1 3.2
1 0 1 7.58333333 3 3.66666666
0 0 1 11.9 1 4
1 1 0 7.5 4 3
0 1 0 3.6 1 2.2
1 0 1 10 4 3.6
0 0 1 1.875 1 1
0 1 0 10 2 4
0 1 1 8.83333333 1 4.16666666
0 1 0 5.8 1 2.4
0 1 1 7.5 2 3
0 1 0 3 1 1.5
0 1 0 1.8 1 1.4
0 1 0 5.75 1 2.5
1 1 0 8.6 4 4.2
0 0 1 12.25 1 4.25
0 1 1 9.3 1 4
0 0 0 2.7 1 2.2
1 0 1 8.9 4 4
0 0 1 8.9 2 3.8
1 0 1 8.3 3 3.6
0 0 1 11.5 5 4.5
1 1 0 11.2 3 4.6
0 0 1 10 3 3.8
1 0 1 13.8 5 4.4
0 0 1 6.25 1 2.25
0 0 0 13.7 5 5
1 0 1 12.8 5 4.8
0 1 0 8.41666666 1 3.83333333
0 1 1 7.6 1 3.2
0 0 1 13.7 5 5
1 0 1 9.75 4 3.75
0 0 1 6.2 1 2.4
0 1 1 11.9 1 4.4
0 0 1 2.3 1 2.4
0 1 1 5.7 1 2.4
0 0 0 9.5 2 3.6
1 0 0 2.2 2 1.2
1 1 0 12 5 4.2
1 1 1 12 1 4.4
0 0 0 4.16666666 1 3.33333333
0 1 1 9.4 2 4
0 1 0 9.25 2 4.16666666
1 1 1 7.1 1 3.4
0 1 0 11.25 1 4
1 1 1 6 3 2.6
0 0 1 3.6 2 2
0 1 0 5.3 1 2.8
0 1 1 13.6666666 3 4.66666666
0 1 1 4.9 1 2.2
0 0 0 12 2 4.6
0 1 0 11 3 4.6
0 1 1 8.9 1 3.6
1 1 1 13 1 4.4
1 1 0 11.6 1 4.4
1 0 1 13.4 3 4.4
0 1 0 10.5 3 4
1 1 1 13.7 5 4.8
0 0 1 5.3 1 2.2
1 0 1 5.7 5 3
0 0 1 10.6 2 4
1 1 1 3.9 3 2.4
1 1 1 9.3 5 4.4
